filename,foreground,background,specimen_id,train_or_test,nuclei_count,area_min,area_max,area_mean,image_height,image_width,image_mean_intensity,image_violet_intensity
d32ea6d318626ca14a967d0c1ad3218aebfe636624a8d1173f5150dde8ff38cf.png,white,black,d32ea6d318626ca14a967d0c1ad3218aebfe636624a8d1173f5150dde8ff38cf,train,10,17.0,308.5,135.25,256,256,5.94049072265625,0
4596961c789d3b41916492918797724fe75128239fefc516c3ee75322b7926f0.png,white,black,4596961c789d3b41916492918797724fe75128239fefc516c3ee75322b7926f0,train,133,35.0,1183.5,588.5375939849624,520,696,8.945874778956675,0
b6edad733399c83c8eb7a59c0d37b54e10cc0d59894e39ff843884d84f61dee1.png,white,black,b6edad733399c83c8eb7a59c0d37b54e10cc0d59894e39ff843884d84f61dee1,train,25,47.0,4119.5,1175.16,360,360,11.37835648148148,0
831218e6a1a54b23d4be56c5799854e7eb978811b89215319dc138900bd563e6.png,white,black,831218e6a1a54b23d4be56c5799854e7eb978811b89215319dc138900bd563e6,train,20,14.0,2900.0,1427.1,360,360,8.676682098765433,0
b1e3aeb0c56261c17eb71c747d116057b8da7e8c8a6845bdc01b2b3ee2299229.png,white,black,b1e3aeb0c56261c17eb71c747d116057b8da7e8c8a6845bdc01b2b3ee2299229,train,22,13.5,243.0,99.0,256,256,5.0481719970703125,0
4a424e0cb845cf6fd4d9fe62875552c7b89a4e0276cf16ebf46babe4656a794e.png,white,black,4a424e0cb845cf6fd4d9fe62875552c7b89a4e0276cf16ebf46babe4656a794e,train,53,40.5,426.5,196.41509433962264,256,256,14.580123901367188,0
43cf6b2ec0b0745ac2b87b4d8780f62e9050d3f5d50a1fcefa42d166191e84c6.png,white,black,43cf6b2ec0b0745ac2b87b4d8780f62e9050d3f5d50a1fcefa42d166191e84c6,train,23,184.5,2250.5,1637.9565217391305,520,696,25.313254310344828,0
f487cc82271cf84b4414552aa8b0a9d82d902451ebe8e8bc639d4121c1672ff7.png,white,black,f487cc82271cf84b4414552aa8b0a9d82d902451ebe8e8bc639d4121c1672ff7,train,47,69.0,588.0,250.4468085106383,256,256,13.006546020507812,0
bf7691b0a79811fa068b7408cbce636a73f01ef9e971a95da1a2d96df73782b6.png,white,black,bf7691b0a79811fa068b7408cbce636a73f01ef9e971a95da1a2d96df73782b6,train,72,15.0,153.0,68.35416666666667,256,256,25.75299072265625,0
df33b11184427e05c8a450f921586685975fe975f57315e686a0f26fddb93db1.png,white,black,df33b11184427e05c8a450f921586685975fe975f57315e686a0f26fddb93db1,train,47,14.0,299.5,107.46808510638297,256,256,22.944107055664062,0
b2c23ddb04531158da6a0abcaca78fec0ae5c6f64f60166e4f36f4a161efd76f.png,white,black,b2c23ddb04531158da6a0abcaca78fec0ae5c6f64f60166e4f36f4a161efd76f,train,10,81.5,224.5,148.25,256,256,4.3042755126953125,0
